cod_ncm;nom_categoria;desc_ncm;ignore1;ignore2;ignore3;ignore4;ignore5;
02072500;CARNES E MIUDEZAS, COMESTÍVEIS;02072500 - CARNES DE PERUS/AS Ñ CORT.PEDAÇOS, CONG.;;;;;;
02072600;CARNES E MIUDEZAS, COMESTÍVEIS;02072600 - CARNES DE PERUAS/US,MIUDEZ.,FRESCOS/REFRIG.;;;;;;
02072700;CARNES E MIUDEZAS, COMESTÍVEIS;02072700 - CARNES PEDAÇOS E MIUDEZ.DE PERUS/AS,CONG.;;;;;;
02074100;CARNES E MIUDEZAS, COMESTÍVEIS;02074100 - CARNES E MIUDEZAS COMEST.FRESCAS/REFRIG.Ñ CORT.DE PATOS;;;;;;
02074200;CARNES E MIUDEZAS, COMESTÍVEIS;02074200 - CARNES E MIUDEZAS COMEST.CONG. Ñ CORT.DE PATOS;;;;;;
02074300;CARNES E MIUDEZAS, COMESTÍVEIS;02074300 - FÍGADOS GORDOS (FOIES GRAS), FRESCOS/REFRIG. DE PATOS;;;;;;
02074400;CARNES E MIUDEZAS, COMESTÍVEIS;02074400 - OUTRAS CARNES E MIUDEZAS FRESCAS/REFRIG. DE PATOS;;;;;;
02074500;CARNES E MIUDEZAS, COMESTÍVEIS;02074500 - OUTRAS CARNES E MIUDEZAS CONGELADAS DE PATOS;;;;;;
02075100;CARNES E MIUDEZAS, COMESTÍVEIS;02075100 - CARNES E MIUDEZAS COMEST.FRESCAS/REFRIG.Ñ CORT.DE GANSO;;;;;;
02075200;CARNES E MIUDEZAS, COMESTÍVEIS;02075200 - CARNES E MIUDEZAS COMEST.CONG. Ñ CORT.DE GANSOS;;;;;;
02075300;CARNES E MIUDEZAS, COMESTÍVEIS;02075300 - FÍGADOS GORDOS (FOIES GRAS), FRESCOS/REFRIG. DE GANSOS;;;;;;
02075400;CARNES E MIUDEZAS, COMESTÍVEIS;02075400 - OUTRAS CARNES E MIUDEZAS FRESCAS/REFRIG. DE GANSOS;;;;;;
02075500;CARNES E MIUDEZAS, COMESTÍVEIS;02075500 - OUTRAS CARNES E MIUDEZAS CONGELADAS DE GANSOS;;;;;;
